谜面,谜底
进洞像龙，出洞像凤。凤生百子，百子成龙。,蚕
尖尖长嘴，细细小腿。拖条大尾，疑神疑鬼。 ,狐狸
娘子娘子，身似盒子。麒麟剪刀，八个钗子。 ,螃蟹
身穿梅花袍，头上顶双角，窜山又越岭，全身都是宝。,小鹿
你坐我不坐，我行你不行。你睡躺得平，我睡站到明。,小马
鼻子像钩子，耳朵像扇子。大腿像柱子，尾巴像鞭子。,大象
小时像逗号，在水中玩耍。长大跳得高，是捉虫冠军。,青蛙
身长约一丈，鼻生头顶上。背黑肚皮白，安家在海洋。,海豚
两眼如灯盏，一尾如只钉。半天云里过，湖面过光阴。,蜻蜓
叫猫不抓鼠，像熊爱吃竹。摇摆惹人爱，是猫还是熊？,熊猫
一双玉燕靠地飞，早上出门夜里归。,鞋子
一间屋，叁个门，里面只住半个人。,裤子
四四方方，又白又光，姑娘请他，清洁衣裳。,肥皂
一天过去，脱件衣裳，一年过去，全身脱光。,日历
脱衣服，它穿衣服，人脱帽子，它戴帽子。,帽架
有面没有口，有脚没有手，虽有四只脚，自己不会走。,桌子
颜色白如雪，身子硬如铁，一日洗三遍，夜晚柜中歇。,饭碗
两只小口袋，天天随身带，要是少一只，就把人笑坏。,袜子
白嫩小宝宝，洗澡吹泡泡，洗洗身体小，再洗不见了。,香皂
薄薄一张纸，四边生长细牙齿，两地朋友要谈心，必须请他当差使。,邮票
绿盖红缸，里头装满蜜浆。,柿子
看看圆，摸摸麻，包着一肚小月牙。,桔子
红果子，麻点子，咬一口，甜丝丝。,草莓
千姊妹，万姊妹，同床睡，各盖被。,石榴
粉脸红唇模样美，偏偏是个大歪嘴。,桃子
黄金布，包银条，中间弯弯两头翘。,香蕉
远看玛瑙紫溜溜，近看珍珠圆溜溜，掐它一把水溜溜，咬它一口酸溜溜。,葡萄
脱了红袍子，是个白胖子，去了白胖子，吃到嘴里笑吟吟。剩个黑圆子。,荔枝
远看红脸好相貌，近看一脸红疙瘩，虽说样儿小又小，为人解渴本领大。,杨梅
个子大，橄榄形，果皮有黄也有青，上面印着小网纹，吃到嘴里笑吟吟。,密瓜
绿枕头，当中空，包的棉絮蓬松松。,冬瓜
青黄袄，宝银条，弯弯两头翘，吃着好味道。,香蕉
青铃铛，摇不响，看看口水淌，尝尝酸牙床。,梅子
穿件绿衣，浑身是刺，不怕干旱，就怕水渍。,人掌
小时嫩又绿，大了有骨气，身体节节高，头上顶火炬。,高粱
有根不落地，有叶不开花，都说它是菜，菜园不种它。,豆芽
小时能吃味道鲜，老来能用有人砍，虽说不是刚和铁，浑身骨节压不弯。,竹子
不长枝来不生杈，叶子顶上开白花，脑袋睡在地底下，胡子长了一大把。,葱
好像柿子没有盖，好像苹果逗人爱，味道酸甜营养多，能当水果能做菜。,番茄
一条白虫泥里钻，头顶一把大绿伞，身子分了好几节，肚里长满窟窿眼。,藕
